Class Name,Nose,LeftEye,RightEye,LeftEar,RightEar,LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftHip,RightHip,LeftKnee,RightKnee,LeftAnkle,RightAnkle
Scale,0.71523059175,0.763220895975,0.7313740715125,0.7284971276875,0.713703046125,0.7921788436875,0.8294991651875,0.69741225153125,0.7072218246875,0.54397646259375,0.51859008075,0.7136685658125,0.7154045796875,0.6730705059375,0.6684660371875,0.4217118282375,0.395776756025
Tree,0.607832263508772,0.636830643918129,0.62764478625731,0.66405892491228,0.65602346748538,0.734648754327486,0.741433477777778,0.662580934678362,0.662493605321638,0.575521324473684,0.556276271538012,0.769093018654971,0.772059508830409,0.681456870263158,0.651853404005848,0.59614591877193,0.601665022748538
Standing_big_toe_hold,0.66583119456,0.71001459072,0.69781590512,0.67437211184,0.68484327152,0.74759463616,0.75467566968,0.691371686,0.67036932008,0.676172099648,0.60525247208,0.73669203424,0.74218566584,0.6708458352,0.60218053528,0.67277052176,0.638674600592
Wild_Thing,0.504093232222222,0.5514189785625,0.532419274375,0.573509525069444,0.5408247371875,0.56603399025,0.529355932222222,0.557703107708333,0.575069329847223,0.581876099916667,0.589942525798611,0.590574633381944,0.608134696319444,0.566365135270833,0.564724621743056,0.536643212291666,0.567438655986111
Reverse_Warrior,0.607184914782313,0.622955162585034,0.635105204285714,0.66433197047619,0.631841435102041,0.706897022857143,0.700970611251701,0.616015672380952,0.618115548707483,0.588041995551021,0.592065570884354,0.743054122108843,0.738212506802721,0.718525839013605,0.712085442278911,0.695449394285714,0.705776305408164
Sitting,0.695144246858639,0.723867103821989,0.722118465471204,0.725980006099476,0.70344942186911,0.799262445287958,0.810558981989529,0.752882810670157,0.753117894371728,0.669114590507853,0.66623592522513,0.768906501790575,0.771345370358638,0.707338238840314,0.689446450329843,0.556398319747121,0.559272227306283
Yogic_sleep,0.560148110485149,0.585928190594059,0.602833380148515,0.534235646564356,0.525793069207921,0.469197228732673,0.448791557079208,0.40735654919802,0.415823915623762,0.362696080950495,0.352232041584159,0.354570857049505,0.321728346465346,0.259615063910891,0.278171066514851,0.154451949346535,0.172898058168317
One_Legged_Pigeon,0.582672377268041,0.595718779072165,0.582839716340206,0.606383751907217,0.578562477938144,0.62332631113402,0.654312502628866,0.531022311958763,0.510638879226805,0.46137460214433,0.472913067731959,0.660548540154639,0.664976873298969,0.70222222006701,0.668725098685567,0.527074925304124,0.55280235021134
Locust,0.602348456614173,0.597704191889764,0.603415265464567,0.642295172834645,0.641421861732283,0.688564472677165,0.644237258740158,0.504996083204724,0.506106927637795,0.473650625007874,0.468096103700788,0.665945726062992,0.639529536062992,0.611902087007874,0.59164243480315,0.643111480314961,0.641509857220473
Plow,0.485729805606195,0.578210069707965,0.585990596190265,0.617497616915929,0.625177219119469,0.701700953486726,0.630697562376106,0.607872714340708,0.651615231831859,0.571743815853982,0.599344573725664,0.76907641539823,0.746262628761062,0.645360924823009,0.693758078119469,0.663755249292036,0.676633771725663
Downward-Facing_Dog,0.57706738788125,0.6233786805,0.6433387004375,0.649135461371875,0.63221614588125,0.7290757674875,0.65503442098125,0.67542514040625,0.686902546225,0.65993250073125,0.66565928865625,0.7585413719375,0.757774643125,0.7767579718125,0.7525423096875,0.7397720646875,0.7397649518125
Cat_Cow,0.643026874364407,0.652144152245763,0.657866842677966,0.721430822711864,0.71124547309322,0.758129215593221,0.719678359957627,0.722840425042373,0.746129401864407,0.709058823262712,0.702671978305086,0.753416782245762,0.725712035169491,0.760154996694916,0.723445079406779,0.73348048822034,0.714509988457627
Warrior_III,0.550844064464,0.55978281584,0.567251547192,0.598421273936,0.58540742036,0.63327500448,0.613994181872,0.498186345568,0.509264498824,0.54877786452,0.55030918508,0.62709892896,0.641827865896,0.601330206592,0.61697509336,0.653228038536,0.7089608332
Reclining_Hand-to-Big-Toe,0.666961451030303,0.681555295666667,0.670219697636364,0.703707457333333,0.674379415575758,0.734869557272727,0.691785140848485,0.584099026939394,0.610373829175758,0.550695038442424,0.535741305448485,0.703760569515152,0.724847060818182,0.691402448424242,0.648492027515151,0.681432479593939,0.6519787196
Four-Limbed_Staff,0.555016273986014,0.552694356615384,0.547283989405595,0.634633730384615,0.628606923636364,0.666493955454546,0.623953683531468,0.514388005874126,0.538184068496503,0.527187430041958,0.537670698111888,0.698313837622378,0.710141826853148,0.610050664965035,0.609631528741258,0.632647201608392,0.681262330629371
Camel,0.593171809157303,0.594254055561798,0.588420380505618,0.677373302921348,0.663037615224719,0.694123585505619,0.67291214241573,0.614528766769663,0.658009585224719,0.544533853764044,0.540366691797752,0.689346704157303,0.696837529494383,0.6782127185,0.67940938591573,0.521135554752809,0.566109093426966
Bow_or_Dhanurasana_,0.629933219391892,0.631980080878379,0.636880943783784,0.650231637162162,0.625359064729729,0.614007588310811,0.616709078378378,0.574909063445946,0.503968526236487,0.485256905743243,0.450737779986486,0.654511929871622,0.639340413054053,0.614722349702703,0.593498407398649,0.442984166777027,0.450569598297298
Happy_Baby_PosE,0.646075476710526,0.666256445460527,0.657876399276316,0.657939431118421,0.64418048681579,0.617031795328948,0.580104291447369,0.480962064921053,0.470717224592106,0.46379670943421,0.442195195026316,0.513297581052632,0.501015319605263,0.372660884092105,0.405571351151316,0.372088714006579,0.359599965986842
Shoulder-Pressing,0.647259501307692,0.671983714538461,0.670747955153846,0.631816878346154,0.593265429923077,0.626498703076923,0.624142899076923,0.493303955846154,0.518976364953846,0.590831565084616,0.573459480538461,0.579752651076923,0.558405327661538,0.5654312432,0.553119364815385,0.406501759569231,0.337416347776923
Eight-Angle,0.565116798521127,0.635994274929577,0.621843221830986,0.566146782746479,0.522727714788732,0.581035671126761,0.522457622605634,0.550224555239437,0.459028905528169,0.612907479901409,0.544443232915493,0.359569249823944,0.347511855056338,0.278604225894366,0.37572848028169,0.395476815021127,0.379298442007042
Upward_Bow,0.56494861125,0.575828541365741,0.579958206064814,0.609860997407407,0.594279756712963,0.636710125972222,0.593667150856481,0.628176985467593,0.642406832800926,0.609277661481481,0.597017392546296,0.667723718888889,0.662118883240741,0.729835536962963,0.692903396481481,0.65059465912037,0.639145460277778
Split,0.621834483695652,0.655099064673913,0.671099015543479,0.656593904891304,0.670975870652174,0.69420373576087,0.719436856413043,0.624183781576087,0.63288791673913,0.617142278630435,0.595435370326087,0.7705770575,0.776412100434783,0.69783911,0.714980369347826,0.68328244923913,0.719679532608696
Fish,0.529114949137931,0.533847238850575,0.516383545229885,0.609192500517242,0.591752995977011,0.626518078333333,0.550725955632184,0.473887672465517,0.496098249862069,0.424086279258621,0.44248122795977,0.613098833505747,0.592897377241379,0.531448046333333,0.50188698604023,0.451933413057471,0.480924605218391
The_Shooting_Bow,0.6180872746,0.642104959,0.63626933422,0.5845626202,0.56828442346,0.67315851017,0.64318762705,0.68142541925,0.65311340493,0.66775250494,0.5209948491,0.7003588221,0.68204346103,0.66268669369,0.64635732041,0.5238017957,0.41309496583
Hero,0.651867594263736,0.67226095039011,0.683052714686813,0.633471447543956,0.671144679,0.731690343901099,0.756170083076923,0.627134479142857,0.653757670934066,0.552721162038462,0.5784745835,0.757109858736264,0.708176362527473,0.68265985456044,0.662976570434066,0.515060432461539,0.554612197667582
Extended_Revolved_Side_Angle,0.63466939681081,0.654125478918919,0.648263870027027,0.648218878432432,0.632675506378378,0.69948368145946,0.687697306297297,0.610672400783784,0.632167995010811,0.63364978,0.627215685918919,0.71535186845946,0.708955149837837,0.676195936045946,0.658851736648648,0.676939180816216,0.67219315472973
Staff,0.746423906635514,0.755104789813084,0.771056949252337,0.752475829906542,0.760290863457944,0.789818496261682,0.836428118785046,0.691166351495327,0.709078140186916,0.610631974299065,0.650345633364486,0.751432401775701,0.766094461962616,0.738094295420561,0.71243266953271,0.661021864018692,0.674926168691589
